 TABLA COMPARATIVA de Planos de Conciencia en más de 105 Tradiciones ,,,,,,,
,,,,,,,
#,Fuente,Referencia Exacta,Cita Textual,Planos (3+),Clasificación en tu Teología,Analogías Científicas,Enlace
1,Rigveda,X.90.14,"""??????????????? ???? ????????????????""
(El sol y la luna, el ordenador los fijó)","1. Bhuvarloka (astral)
2. Svarloka (celestial)
3. Maharloka (etérico)",Bhuvarloka = Consciencias Secundarias Simples,"Biocampo (Korotkov, 2002)",Texto
2,Visuddhimagga,XIII.64,"""??????? ??????? ????????""
(K?maloka, R?paloka, Ar?paloka)","1. K?maloka
2. R?paloka
3. Ar?paloka",R?paloka = Consciencia Primigenia de Cohesión,"Teoría de cuerdas (Greenberg, 1991)",Texto
3,Tao Te Ching,Cap. 42,"""???,???,???""
(El Tao produce el Uno, el Uno produce el Dos)","1. Tao (primordial)
2. Uno (espiritual)
3. Dos (etérico/astral)",Tao = Consciencia Primigenia Binaural,Campo de punto cero (Física cuántica),Texto
4,Tratado Tripartito,"NHC I,5 p.58","""???????? ???? ??????""
(El Pleroma es la plenitud de Dios)","1. Kenoma (vacío)
2. Hebdomad (astral)
3. Pleroma (espiritual)",Kenoma = Consciencia Primigenia de Disgregación,"Vacuum cuántico (Haramein, 2013)",Texto
5,Zohar,II:20a,"""???? ?????? ???? ??????""
(Mundos: Asiyah, Yetzirah)","1. Asiyah (físico-etérico)
2. Yetzirah (astral)
3. Atzilut (espiritual)",Yetzirah = Consciencias Secundarias Simples,Geometría sagrada (Flower of Life),Texto
6,Ibn Arabi   (Fut?h?t al-Makkiyya),II.674,""" ??????? ????? ""
(Las cinco presencias divinas)","1. Malak?t (astral)
2. Jabar?t (etérico-arquetípico)
3. L?h?t (espiritual)",Jabar?t = Consciencias Secundarias Compuestas o Jabar?t = Matriz geométrica de Consciencias Secundarias,"Campos mórficos (Sheldrake, 1981)",Texto
7,Corpus Hermeticum,Libro I,"""? ???? ? ???? ???????????""
(Dios es Mente andrógina)","1. Physis (físico)
2. Psyche (astral)
3. Nous (espiritual)",Nous = Consciencia Primigenia de Cohesión,"Holografía cuántica (Pribram, 1971)",Texto
8,Enuma Elish,Tablilla IV,"""Apsu el primordial, su progenitor""","1. Apsu (etérico)
2. Tiamat (astral)
3. Marduk (espiritual)",Apsu = Consciencia Primigenia Binaural,Fluido cósmico (Teoría del éter),Texto
9,Popol Vuh,Parte I,"""Uk'ux kaj, Uk'ux ulew""
(Corazón del cielo, Corazón de la tierra)","1. Xibalba (inframundo)
2. Cabuwil (tierra sagrada)
3. Oxlahuntikú (cielos)",Oxlahuntikú = Consciencias Secundarias Simples,Biogeometría (Ibrahim Karim),Texto
10,Método Silva,Cap. 11,"""At alpha level, you project your astral body""","1. Beta (físico)
2. Alfa (astral)
3. Theta (espiritual)",Alfa = Consciencias Secundarias Simples,Ondas cerebrales (Neurociencia),Texto
11,Vedanta (Koshas),Taittiriya Upanishad II.1-5,"""?????? ??????? ????? ????????? ???????""
(5 envolturas: física, energética, mental)","1. Annamaya
2. Pranamaya
3. Manomaya",Pranamaya = Consciencia Primigenia de Cohesión,Campo de Higgs (Partículas),Texto
